name,unit,carrier
electricity (exp),MW,electricity
battery (exp),MW,battery
water (exp),m^3/h,water
hydrogen (g) (exp),MW,hydrogen
ammonia (g) (exp),MW,ammonia
ammonia (l) (exp),MW,ammonia
ammonia (l) (imp),MW,ammonia
ammonia (g) (imp),MW,ammonia
nitrogen (g) (exp),t/h,nitrogen
