name,bus0,bus1,bus2,bus3,p_nom_extendable,p_min_pu,p_max_pu,scale_costs_based_on
"battery inverter (charging, exp)",electricity (exp),battery (exp),,,True,0,1,bus0
"battery inverter (discharging, exp)",battery (exp),electricity (exp),,,True,0,1,bus0
electrolysis (exp),electricity (exp),hydrogen (g) (exp),,,True,0,1,bus0
direct iron reduction furnace,iron ore (exp),hot briquetted iron (exp),electricity (exp),hydrogen (g) (exp),True,0,1,bus1
electric arc furnace,hot briquetted iron (exp),steel (exp),electricity (exp),,True,0,1,bus1
ship loading (exp),steel (exp),berth (exp),,,True,0,1,n/a
ship unloading (imp),berth (imp),steel (imp),,,True,0,1,n/a
