name,bus,e_nom_extendable,e_cyclic,capital_cost
battery storage (exp),battery (exp),True,True,0.1
clean water tank storage (exp),water (exp),True,True,0.1
CO2 (g) tank (exp),CO2 (g) (exp),True,True,0.1
methane (g) tank (exp),methane (g) (exp),True,True,0.1
methane (g) demand buffer (imp),methane (g) (imp),True,True,0.1
