name,unit,carrier
electricity (exp),MW,electricity
battery (exp),MW,battery
water (exp),m^3,water
hydrogen (g) (exp),MW,hydrogen
ammonia (g) (exp),MW,ammonia
ammonia (l) (exp),MW,ammonia
ammonia (l) (imp),MW,ammonia
ammonia (g) (imp),MW,ammonia
hydrogen (g) (imp),MW,hydrogen
nitrogen (g) (exp),t,nitrogen
berth (exp),t,ammonia
berth (imp),t,ammonia
hydrogen (g) storage (exp),MW,hydrogen
