name,bus,e_nom_extendable,e_cyclic
battery storage (exp),battery (exp),True,True
clean water tank storage (exp),water (exp),True,True
hydrogen storage tank incl. compressor (exp),hydrogen (g) storage (exp),True,True
hydrogen (g) demand buffer (imp),hydrogen (g) (imp),True,True
LOHC unloaded DBT storage (exp),LOHC (unloaded) (exp),True,True
LOHC unloaded DBT storage (imp),LOHC (used) (imp),True,True
LOHC loaded DBT storage (exp),LOHC (loaded) (exp),True,True
LOHC loaded DBT storage (imp),LOHC (loaded) (imp),True,True
