name,bus,e_nom_extendable,e_cyclic,capital_cost
battery storage (exp),battery (exp),True,True,0.1
battery storage (imp),battery (imp),True,True,0.1
hydrogen storage tank type 1 including compressor (imp),hydrogen (g) storage (imp),True,True,0.1
